Salar de Atacama,Chile,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral imagery shows distinct salt flat signatures; ASTER detected Li-bearing evaporites,Gravity surveys indicate basin structure; MT surveys map brine aquifers,Continental brine,"Main: Li; By-products: K, B, Mg","Halite, ulexite, lithium chloride in brine","B, K, Mg, Na","Stratiform, basin-wide","High porosity (10-15%), high permeability aquifer","Quaternary evaporites, volcanic ash",Andean foreland basin,Quaternary lacustrine and evaporite beds,Closed basin hydrology; volcanic-hydrothermal input,"Li: 1,200-1,700 ppm in brine; Mg/Li ratio: 6.4",Terminal salt flat; volcanic ash input; arid climate,Cobalt
Greenbushes,Australia,Archean (2.53 Ga),Magmatic-hydrothermal,Landsat/ASTER detected pegmatite ridge; Hyperspectral identified spodumene zones,Radiometric surveys show K anomaly; magnetic low due to alteration,LCT pegmatite,"Main: Li; Co-products: Ta, Sn","Spodumene, petalite, lepidolite, quartz, albite, K-feldspar","Cs, Rb, Sn, Ta","Dyke-like, steeply dipping; 3.5 km length, 300 m width","High-grade (up to 3.5% Li₂O), zoned",Archean amphibolite and gneiss,Collision zone near craton margin,Intruded into Balingup metamorphic belt,Structural control along fault zones,Li₂O: 1.8-3.5%; Ta₂O₅: 300-500 ppm,Exceptionally large pegmatite; multiple intrusive phases; mineral zonation,Cobalt
Clayton Valley (Silver Peak),USA,Quaternary–Miocene (0-10 Ma),Evaporitic,ASTER/Landsat identified playa surface; hyperspectral detected clay alteration zones,Gravity and MT surveys mapped basin structure and brine aquifers,Continental brine,Main: Li,"Halite, hectorite, montmorillonite in brines","B, K, Na",Basin-wide aquifer system,Variable porosity (5-40%) in multiple aquifers,"Tertiary volcanics, lacustrine sediments",Basin and Range extension,"Esmeralda Formation, overlying alluvium",Closed basin; fault-controlled hydrology,Li: 200-400 ppm in brine; favorable Mg/Li ratio,Multiple aquifer levels; fault-controlled basin,Cobalt
Jadar,Serbia,Miocene (14.7-14.9 Ma),Lacustrine evaporitic,Landsat identified basin structure; spectral analysis mapped alteration zones,Seismic surveys mapped basin structure; gravity surveys identified dense mineralization,Sedimentary,"Main: Li, B","Jadarite [LiNaSiB₃O₇(OH)], analcime, searlesite","B, Na, Sr","Stratabound, tabular",Two ore zones (Upper and Lower Jadarite); 136 Mt resource,Miocene lacustrine sediments,Extensional basin,Jadar Formation within Neogene basin,Lacustrine depositional environment; volcanic input,Li₂O: 1.8%; B₂O₃: 15.4%,Unique jadarite mineralogy; volcanic ash input to closed basin,Cobalt
Sonora,Mexico,Oligocene-Miocene (20-30 Ma),Lacustrine volcaniclastic,Landsat/ASTER mapped basin extent; thermal detected clay alteration,Gravity surveys defined basin; magnetic data mapped intrusives,Clay deposit,Main: Li,"Lithium-bearing clays (hectorite), K-feldspar, analcime","K, Na, Rb","Stratiform beds, gently dipping","243 Mt resource at 3,500 ppm Li",Oligocene-Miocene volcaniclastic rocks,Basin and Range extension,La Aduana Formation,Hydrothermal alteration of volcanic ash in alkaline lake,"Li: 3,000-4,500 ppm; K: 1.5%",Volcaniclastic units in semi-arid basin; clay alteration,Cobalt
Manono,DRC,Paleoproterozoic (940 Ma),Magmatic,ASTER/Landsat detected large pegmatite outcrop,Radiometric surveys detected K-anomaly; magnetic low from alteration,LCT pegmatite,"Main: Li; Co-products: Sn, Ta","Spodumene, quartz, albite, muscovite, cassiterite","Cs, Rb, Sn, Ta","Dyke-like, 13 km length, 400 m width",400 Mt at 1.66% Li₂O,Paleoproterozoic schist,Kibaran orogeny,Intrusive into Kibaran metasediments,Structural control along regional faults,Li₂O: 1.5-1.7%; Ta₂O₅: 800 ppm; Sn: 0.1%,World's largest pegmatite; multiple intrusion phases,Cobalt
Salton Sea,USA,Quaternary (Recent),Geothermal brine,Thermal imagery mapped surface heat anomalies,MT surveys mapped brine reservoirs; gravity data defined basin structure,Geothermal brine,"Main: Li; By-products: Zn, Mn",Lithium chloride in brine,"B, K, Na, Ca, Fe, Mn, Zn",Deep geothermal reservoir,Hypersaline brine at 250-350°C,Sandstone and shale,Salton Trough pull-apart,"Imperial Formation, overlying sediments",Active geothermal system; fault control,"Li: 200-400 ppm; high K, Na, Ca",Active geothermal system; high heat flow,Cobalt
Pilgangoora,Australia,Archean (2.85-2.90 Ga),Magmatic,ASTER/Landsat identified pegmatite signatures,Radiometric detected K anomaly; magnetic lows from pegmatite intrusions,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, petalite, albite, muscovite","Be, Cs, Nb, Rb, Sn, Ta","Multiple dykes, 7 km strike length",226 Mt at 1.27% Li₂O,Archean greenstone,Craton margin,Intruded into Pilbara Supergroup,Structural control along shear zones,Li₂O: 1.2-1.5%; Ta₂O₅: 120 ppm,Multiple parallel pegmatite dykes; mineral zonation,Cobalt
Wodgina,Australia,Archean (2.84-2.90 Ga),Magmatic,Landsat/ASTER mapped pegmatite extent,"Radiometric surveys detected K, Th anomalies",LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, petalite, albite, tantalite","Cs, Nb, Rb, Sn, Ta","Multiple dykes, 5 km strike length",259 Mt at 1.17% Li₂O,Archean greenstones,Pilbara Craton margin,Intrusive into greenstones,Structural control along shear zones,Li₂O: 1.1-1.3%; Ta₂O₅: 175 ppm,Multiple stacked pegmatite dykes; mineral zonation,Cobalt
Thacker Pass,USA,Miocene (16 Ma),Lacustrine volcaniclastic,Landsat/ASTER mapped caldera structure; multispectral detected clay alteration,Gravity surveys mapped basin; magnetic data detected volcanic structures,Clay deposit,Main: Li,Lithium-bearing smectite clays,"B, F, K, Mg, Na","Stratiform, caldera-fill","13.7 Mt LCE at 2,300 ppm Li",Miocene volcanic and sedimentary rocks,Basin and Range extension,McDermitt caldera fill,Alteration of volcanic ash in alkaline lake,"Li: 2,000-4,000 ppm; K: 1.6%",Caldera-hosted; volcanic ash alteration,Cobalt
Salar de Uyuni,Bolivia,Quaternary (10-100 ka),Evaporitic,Multispectral imagery mapped salt flat extent,Gravity surveys mapped basin; MT defined brine aquifers,Continental brine,"Main: Li; By-products: K, B, Mg","Halite, ulexite in brine","B, K, Mg, Na",Basin-wide stratiform,9 million tonnes Li,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin hydrology,Li: 400-600 ppm in brine; high Mg/Li ratio,"World's largest salt flat; seasonal flooding; high elevation (3,650 m)",Cobalt
Zinnwald,Germany/Czech Republic,Late Variscan (312-315 Ma),Magmatic-hydrothermal,ASTER detected alteration halo; Landsat mapped topographic expression,Gravity surveys detected granite cupola; magnetic data mapped intrusive,Greisen/vein,"Main: Li, Sn; Co-products: W, F","Zinnwaldite, quartz, topaz, cassiterite","F, Rb, Sn, W",Flat-lying sheets above granite cupola,35.5 Mt at 0.32% Li (German side),Altered granite,Variscan orogen,Late Variscan granite,Apical portion of granite cupola,Li₂O: 0.3-0.5%; Sn: 0.2%; W: 0.02%,Greisen alteration; mineralized cupola,Cobalt
Maricunga,Chile,Quaternary (Recent to 1 Ma),Evaporitic,ASTER/Landsat mapped salt flat; thermal detected moisture variation,MT surveys mapped brine aquifers; gravity defined basin,Continental brine,Main: Li; By-products: K,"Halite, calcite, gypsum in brine","B, Ca, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic-hydrothermal input,"Li: 800-1,250 ppm in brine; Mg/Li ratio: 7-8","High altitude (3,760 m) salt flat; volcanic input",Cobalt
Cauchari-Olaroz,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat extent,Gravity surveys mapped basin; MT mapped brine aquifers,Continental brine,"Main: Li; By-products: K, B","Halite, ulexite in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic input,Li: 600-900 ppm in brine; favorable Mg/Li ratio,"Large salt flat; volcanic ash input; high altitude (3,900 m)",Cobalt
Whabouchi,Canada,Archean (2.57-2.61 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,Radiometric surveys showed K anomaly; magnetic low from pegmatite,LCT pegmatite,Main: Li; Co-products: Be,"Spodumene, albite, quartz, muscovite","Be, Cs, Rb, Ta","Dyke-like, 1.3 km length, 130 m width",36.6 Mt at 1.48% Li₂O,Archean metavolcanics and paragneiss,Abitibi greenstone belt,Intruded into Lac des Montagnes belt,Structural control along regional fault,Li₂O: 1.4-1.5%; Be: 128 ppm; Cs: 42 ppm,Homogeneous spodumene pegmatite; low iron content,Cobalt
Kings Mountain Belt,USA,Ordovician (340-450 Ma),Magmatic,Landsat/ASTER mapped pegmatite belt,"Radiometric detected K, Th anomalies",LCT pegmatite,"Main: Li; Co-products: Sn, Be","Spodumene, quartz, feldspar, muscovite","Be, Cs, Nb, Ta, Sn",Multiple dykes along 40 km belt,Historic resource: 750 Mt at 0.69% Li₂O,Metavolcanic and metasedimentary rocks,Appalachian orogen,Carolina terrane,Structural control along belt,Li₂O: 0.6-1.5%; BeO: 0.04%,40 km long pegmatite belt; multiple deposits,Cobalt
Keliber,Finland,Paleoproterozoic (1.8 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li,"Spodumene, quartz, albite, muscovite","Be, Nb, Ta","Multiple dykes, 15-20 m width",9.3 Mt at 1.18% Li₂O,Paleoproterozoic metavolcanics and metasediments,Svecofennian orogen,Kaustinen schist belt,Structural control along shear zones,Li₂O: 1.0-1.3%; low impurity levels,Multiple pegmatite deposits in 5 km² area,Cobalt
Rincon,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat; ASTER detected mineral zonation,Gravity surveys mapped basin; MT mapped brine aquifers,Continental brine,"Main: Li; By-products: K, B","Halite, gypsum in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic input,Li: 400-600 ppm in brine; moderate Mg/Li ratio,Circular salt flat; volcanic ash input,Cobalt
San José/Valdeflórez,Spain,Ordovician-Silurian (440-460 Ma),Metasedimentary,Multispectral detected Li-mica zones,Magnetic surveys mapped intrusions; IP detected mineralized zones,Hard rock (metasedimentary),Main: Li,"Li-rich micas, quartz, feldspars","F, P, Rb, Sn","Stratiform, folded",111 Mt at 0.61% Li₂O,Cambrian-Ordovician metasediments,Variscan orogen,Schist-greywacke complex,Lithium enrichment in metasediments,Li₂O: 0.6-0.7%; K₂O: 3.5%,Lithium in micas within metamorphosed sediments,Cobalt
Cinovec,Czech Republic,Late Variscan (312-315 Ma),Magmatic-hydrothermal,ASTER detected alteration halo; Landsat mapped topographic expression,Gravity surveys mapped granite cupola; magnetic data identified intrusive,Greisen/vein,"Main: Li, Sn; Co-products: W","Zinnwaldite, quartz, topaz, cassiterite","F, Rb, Sn, W",Flat-lying sheets above granite cupola,708 Mt at 0.43% Li₂O,Altered granite,Variscan orogen,Late Variscan granite,Apical portion of granite cupola,Li₂O: 0.4-0.5%; Sn: 0.1-0.2%; W: 0.03%,Greisen alteration; mineralized cupola,Cobalt
Arcadia,Zimbabwe,Archean (2.64 Ga),Magmatic,ASTER/Landsat mapped pegmatite signature,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, petalite, lepidolite, quartz, feldspar","Cs, Nb, Rb, Ta","Multiple dykes, 3.5 km strike length",72 Mt at 1.11% Li₂O,Archean greenstone,Zimbabwe craton margin,Intruded into Arcturus Formation,Structural control along shear zones,Li₂O: 1.1-1.2%; Ta₂O₅: 132 ppm,Multiple pegmatite dykes; mineral zonation,Cobalt
Hombre Muerto,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat; thermal detected moisture variation,MT surveys mapped brine aquifers; gravity defined basin,Continental brine,"Main: Li; By-products: K, B","Halite, gypsum in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic influence,Li: 700-900 ppm in brine; low Mg/Li ratio (1-3),Low Mg/Li ratio improves processing; volcanic input,Cobalt
Mariana,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat extent,Gravity surveys mapped basin; MT mapped brine aquifers,Continental brine,"Main: Li; By-products: K, B","Halite, ulexite in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic influence,Li: 500-700 ppm in brine; high Mg/Li ratio,High altitude salar; volcanic ash input,Cobalt
Karibib,Namibia,Neoproterozoic (500-530 Ma),Magmatic,ASTER/Landsat mapped pegmatite ridges,"Radiometric surveys showed K, U anomalies",LCT pegmatite,"Main: Li; Co-products: Ta, Sn","Lepidolite, petalite, amblygonite","Cs, Rb, Ta","Multiple dykes, variable widths",Resource: 18 Mt at 0.5% Li₂O,Damara Supergroup metasediments,Pan-African orogen,Intruded into Damaran schists,Structural control along regional faults,Li₂O: 0.4-0.7%; Ta₂O₅: 150 ppm,Multiple pegmatite swarms; mineral zonation,Cobalt
Goulamina,Mali,Birimian (2.0-2.2 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Cs, Nb, Rb, Ta","Multiple parallel dykes, 2 km strike length",104 Mt at 1.34% Li₂O,Birimian greenstone,Paleoproterozoic belt,Intruded into metavolcanics,Structural control along shear zones,Li₂O: 1.3-1.5%; Ta₂O₅: 100 ppm,Multiple pegmatite dykes; mineral zonation,Cobalt
McDermitt (Lithium Nevada),USA,Miocene (16 Ma),Lacustrine volcaniclastic,Landsat/ASTER mapped caldera structure; multispectral detected clay alteration,Gravity surveys mapped basin; magnetic data detected volcanic structures,Clay deposit,Main: Li,Lithium-bearing smectite clays,"B, F, K, Mg, Na","Stratiform, caldera-fill","9.0 Mt LCE at 2,950 ppm Li",Miocene volcanic and sedimentary rocks,Basin and Range extension,McDermitt caldera fill,Alteration of volcanic ash in alkaline lake,"Li: 2,500-4,000 ppm; K: 1.8%",Caldera-hosted; volcanic ash alteration,Cobalt
Kachi,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat; thermal detected moisture variation,MT surveys mapped brine aquifers; gravity defined basin,Continental brine,Main: Li; By-products: K,"Halite, gypsum in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic influence,Li: 200-300 ppm in brine; favorable Mg/Li ratio,Large salt flat; direct extraction method potential,Cobalt
Bikita,Zimbabwe,Archean (2.64 Ga),Magmatic,ASTER/Landsat mapped pegmatite signature,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Li; Co-products: Cs, Ta","Petalite, spodumene, eucryptite, lepidolite","Be, Cs, Rb, Ta","Irregular dyke-like, 1.5 km length",Historic producer: >2 Mt at 1.4% Li₂O,Archean greenstone,Zimbabwe craton margin,Intruded into Fort Victoria Group,Structural control along fracture zones,Li₂O: 1.4-1.5%; Cs₂O: 0.2%; Ta₂O₅: 100 ppm,Complex zoned pegmatite; multiple intrusion phases,Cobalt
Rose,Canada,Archean (2.55-2.67 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, albite, muscovite","Be, Cs, Nb, Rb, Ta","Multiple dykes, 3 km strike length",55.5 Mt at 0.88% Li₂O,Archean metasediments,Superior Province margin,Intruded into Eastmain Group,Structural control along regional faults,Li₂O: 0.8-1.0%; Ta₂O₅: 133 ppm,Multiple parallel pegmatite dykes; mineral zonation,Cobalt
Mont d'Or,Mali,Birimian (2.0-2.2 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Cs, Nb, Rb, Ta","Multiple parallel dykes, 1.5 km strike length",10.2 Mt at 1.37% Li₂O,Birimian greenstone,Paleoproterozoic belt,Intruded into metavolcanics,Structural control along shear zones,Li₂O: 1.3-1.5%; Ta₂O₅: 120 ppm,Multiple pegmatite dykes; mineral zonation,Cobalt
Olaroz,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat extent,Gravity surveys mapped basin; MT mapped brine aquifers,Continental brine,"Main: Li; By-products: K, B","Halite, ulexite in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic influence,Li: 600-900 ppm in brine; Mg/Li ratio: 2.5-3.0,"Large salt flat; volcanic ash input; high altitude (3,900 m)",Cobalt
Kolmozero,Russia,Archean (2.7-2.9 Ga),Magmatic,Landsat/ASTER detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,"Main: Li; Co-products: Ta, Cs","Spodumene, petalite, lepidolite","Be, Cs, Nb, Rb, Ta","Dyke-like, 1 km length, 60 m width",Resource: 288 Mt at 1.14% Li₂O,Archean metavolcanics and gneisses,Kola-Karelian terrane,Intruded into greenstone belt,Structural control along shear zones,Li₂O: 1.0-1.3%; Ta₂O₅: 77 ppm,Large spodumene-rich pegmatite; remote location,Cobalt
Ella's Dome,Namibia,Neoproterozoic (500-530 Ma),Magmatic,ASTER/Landsat mapped pegmatite ridges,"Radiometric surveys showed K, U anomalies",LCT pegmatite,Main: Li; Co-products: Ta,"Lepidolite, spodumene, petalite","Cs, Rb, Ta","Multiple dykes, variable widths",Resource: 13 Mt at 0.54% Li₂O,Damara Supergroup metasediments,Pan-African orogen,Intruded into Damaran schists,Structural control along regional faults,Li₂O: 0.5-0.6%; Ta₂O₅: 140 ppm,Multiple pegmatite swarms; mineral zonation,Cobalt
Antofalla,Argentina,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral mapped salt flat extent,Gravity surveys mapped basin; MT mapped brine aquifers,Continental brine,"Main: Li; By-products: K, B","Halite, ulexite in brine","B, K, Mg, Na",Basin-wide aquifer system,Multi-layer aquifer system,Quaternary evaporites,Andean foreland basin,Quaternary salt flat,Closed basin; volcanic influence,Li: 200-350 ppm in brine; moderate Mg/Li ratio,130 km long salt flat; volcanic ash input,Cobalt
Mibra,Brazil,Neoproterozoic (970-980 Ma),Magmatic,ASTER/Landsat detected pegmatite signatures,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Li; Co-products: Ta, Sn","Spodumene, amblyonite, lepidolite","Be, Cs, Nb, Rb, Ta","Multiple dykes, 1.5 km length",Resource: 22 Mt at 0.5% Li₂O,Neoproterozoic metasediments,Brasiliano orogen,Intruded into Itabuna-Salvador-Curaçá block,Structural control along regional faults,Li₂O: 0.4-0.6%; Ta₂O₅: 200 ppm,Multiple pegmatite dykes; currently mined for Ta,Cobalt
Kietyönmäki,Finland,Paleoproterozoic (1.8 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li,"Spodumene, quartz, albite, muscovite","Be, Nb, Ta","Multiple dykes, 15 m width",Resource: 0.46 Mt at 0.92% Li₂O,Paleoproterozoic metavolcanics and metasediments,Svecofennian orogen,Somero schist belt,Structural control along shear zones,Li₂O: 0.9-1.0%; low impurity levels,Multiple narrow pegmatite dykes,Cobalt
Kamativi,Zimbabwe,Archean (2.62 Ga),Magmatic,ASTER/Landsat mapped pegmatite signature,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Li, Sn; Co-products: Ta, W","Spodumene, cassiterite, tantalite","Be, Cs, Nb, Rb, Ta, W","Multiple dykes, 3 km strike length",Historic Sn producer; Li potential,Archean gneisses and schists,Zimbabwe craton margin,Intruded into Malaputese Formation,Structural control along shear zones,Li₂O: 0.5-1.0%; SnO₂: 0.2%; Ta₂O₅: 0.02%,Historic tin mine; lithium in tailings and pegmatites,Cobalt
PAK,Canada,Archean (2.66 Ga),Magmatic,ASTER/Landsat detected pegmatite signature,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Li; Co-products: Cs, Ta, Rb","Petalite, spodumene, lepidolite","Be, Cs, Nb, Rb, Ta","Multiple zones, 500 m strike length",9.5 Mt at 1.65% Li₂O,Archean metavolcanics,Superior Province,English River subprovince,Structural control along regional faults,Li₂O: 1.6-2.0%; Cs₂O: 0.01%; Ta₂O₅: 120 ppm,Complex zoned pegmatite; gem-quality tourmaline,Cobalt
Avalonia (Separation Rapids),Canada,Archean (2.64-2.65 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,"Main: Li; Co-products: Rb, Cs","Petalite, lepidolite, spodumene","Be, Cs, Nb, Rb, Ta","Multiple dykes, 600 m length",8 Mt at 1.29% Li₂O,Archean metavolcanics,Superior Province,Separation Lake greenstone belt,Structural control along regional faults,Li₂O: 1.2-1.4%; Rb₂O: 0.3%; Cs₂O: 0.02%,Multiple parallel pegmatite dykes; low iron content,Cobalt
Moblan,Canada,Archean (2.64 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Dyke-like, 1.5 km length, 30-60 m width",37.2 Mt at 1.4% Li₂O,Archean metavolcanics,Superior Province,La Grande subprovince,Structural control along regional faults,Li₂O: 1.4-1.6%; low Fe content,Large homogeneous spodumene pegmatite,Cobalt
Weinebene,Austria,Permian (250-270 Ma),Magmatic,ASTER detected alteration halo,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 400 m length",11 Mt at 0.9% Li₂O,Permian metasediments,Eastern Alps,Koralpe Complex,Structural control along regional faults,Li₂O: 0.8-1.0%; low Fe content,Multiple pegmatite dykes within metamorphic complex,Cobalt
Koralpa,Austria,Permian (250-270 Ma),Magmatic,ASTER detected pegmatite signatures,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,Main: Li,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 300 m length",4.7 Mt at 0.8% Li₂O,Permian metasediments,Eastern Alps,Koralpe Complex,Structural control along regional faults,Li₂O: 0.7-0.9%; low Fe content,Multiple pegmatite dykes within metamorphic complex,Cobalt
Wolfsberg,Austria,Permian (250-270 Ma),Magmatic,ASTER detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 400 m length",10.1 Mt at 1.0% Li₂O,Permian metasediments,Eastern Alps,Koralpe Complex,Structural control along regional faults,Li₂O: 0.9-1.1%; low Fe content,Multiple pegmatite dykes within metamorphic complex,Cobalt
Pakeagama Lake,Canada,Archean (2.67 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Li; Co-products: Cs, Ta, Rb","Petalite, spodumene, lepidolite","Be, Cs, Nb, Rb, Ta","Multiple zones, 250 m strike length",6.5 Mt at 1.5% Li₂O,Archean metavolcanics,Superior Province,North Spirit Lake greenstone belt,Structural control along regional faults,Li₂O: 1.4-1.7%; Cs₂O: 0.03%; Rb₂O: 0.5%,Complex zoned pegmatite; enriched in rare alkalis,Cobalt
Yellowknife,Canada,Archean (2.6 Ga),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, petalite","Be, Cs, Nb, Rb, Ta","Multiple dykes, variable lengths",Resource: 4 Mt at 1.2% Li₂O,Archean metavolcanics and metasediments,Slave Province,Yellowknife greenstone belt,Structural control along regional faults,Li₂O: 1.1-1.3%; Ta₂O₅: 80 ppm,Multiple pegmatite dykes; historic mining district,Cobalt
Beaumont,Ireland,Late Caledonian (410-425 Ma),Magmatic,Multispectral mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Sn,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Sn, Ta","Dyke-like, 400 m length, 15 m width",8.2 Mt at 0.74% Li₂O,Ordovician metasediments,Caledonian orogen,Leinster Granite Suite,Structural control along regional faults,Li₂O: 0.7-0.9%; SnO₂: 0.05%,Spodumene-bearing pegmatite associated with granite pluton,Cobalt
Polaris,Australia,Archean (2.83-2.89 Ga),Magmatic,ASTER/Landsat mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 1.5 km strike length",81 Mt at 1.5% Li₂O,Archean greenstones,Pilbara Craton,East Pilbara Terrane,Structural control along regional faults,Li₂O: 1.3-1.6%; Ta₂O₅: 105 ppm,Multiple parallel pegmatite dykes,Cobalt
Mt Marion,Australia,Archean (2.84-2.89 Ga),Magmatic,ASTER/Landsat mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 1 km strike length",71 Mt at 1.37% Li₂O,Archean greenstones,Yilgarn Craton,Kalgoorlie Terrane,Structural control along regional faults,Li₂O: 1.3-1.5%; Ta₂O₅: 100 ppm,Multiple parallel pegmatite dykes,Cobalt
Kathleen Valley,Australia,Archean (2.84-2.89 Ga),Magmatic,ASTER/Landsat mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 1.7 km strike length",156 Mt at 1.4% Li₂O,Archean greenstones,Yilgarn Craton,Kalgoorlie Terrane,Structural control along regional faults,Li₂O: 1.3-1.5%; Ta₂O₅: 130 ppm,Multiple stacked pegmatite dykes,Cobalt
Earl Grey,Australia,Archean (2.84-2.89 Ga),Magmatic,ASTER/Landsat mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 1.4 km strike length",189 Mt at 1.5% Li₂O,Archean greenstones,Yilgarn Craton,Southern Cross Domain,Structural control along regional faults,Li₂O: 1.4-1.6%; Ta₂O₅: 85 ppm,Multiple stacked pegmatite dykes within greenstone belt,Cobalt
Bald Hill,Australia,Archean (2.84-2.89 Ga),Magmatic,ASTER/Landsat mapped pegmatite extent,Radiometric surveys showed K anomaly,LCT pegmatite,Main: Li; Co-products: Ta,"Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Ta","Multiple dykes, 2 km strike length",26 Mt at 1.0% Li₂O,Archean greenstones,Yilgarn Craton,Eastern Goldfields Superterrane,Structural control along regional faults,Li₂O: 0.9-1.1%; Ta₂O₅: 160 ppm,Multiple pegmatite dykes with tantalite mineralization,Cobalt
Piedmont,USA,Paleozoic (340-365 Ma),Magmatic,ASTER/Landsat detected pegmatite signatures,Radiometric surveys showed K anomaly,LCT pegmatite,"Main: Li; Co-products: Sn, Be","Spodumene, quartz, feldspar","Be, Cs, Nb, Rb, Sn, Ta",Multiple dykes along 15 km trend,44.2 Mt at 1.08% Li₂O,Metavolcanic and metasedimentary rocks,Appalachian orogen,Carolina terrane,Structural control along belt,Li₂O: 1.0-1.2%; BeO: 0.04%,Multiple pegmatite dykes along belt; historic mining district,Cobalt
